"Arrival_Time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"15:10","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E324","2h 10m"
"15:10","AI","Air India","Jodhpur","JDH","Jodhpur","AI646","1h 45m"
"15:15","6E","IndiGo","Patna","PAT","Patna","6E2025","2h 45m"
"15:25","6E","IndiGo","Phuket International Airport","HKT","Phuket","6E1072","4h 35m"
"15:30","6E","IndiGo","Dubai International Airport","DXB","Dubai","6E1452","3h 20m"
"15:30","6E","IndiGo","Jomo Kenyatta International","NBO","Nairobi","6E1854","6h 20m"
"15:30","IY","Yemenia","Aden Intl","ADE","Aden","IY854","4h 0m"
"15:35","QP","Akasa Air","Kempegowda International Airport","BLR","Bengaluru","QP3044","2h 0m"
"15:40","AI","Air India","Jaipur","JAI","Jaipur","AI2782","2h 5m"
"15:40","IX","Air India Express","Goa","GOI","Goa","IX1214","1h 25m"
"15:40","QP","Akasa Air","Chennai International","MAA","Chennai","QP3046","2h 5m"
"15:45","IX","Air India Express","Dehradun","DED","Dehra Dun","IX2395","2h 30m"
"15:50","6E","IndiGo","Zia International","DAC","Dhaka","6E1116","3h 15m"
"15:50","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2951","2h 20m"
"15:50","IX","Air India Express","Mangalore","IXE","Mangalore","IX1671","1h 45m"
"15:55","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5099","1h 40m"
"16:05","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5351","1h 45m"
"16:05","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1807","2h 25m"
"16:10","6E","IndiGo","Birsa Munda","IXR","Ranchi","6E6088","2h 30m"
"16:10","AI","Air India","Amritsar","ATQ","Amritsar","AI2998","2h 55m"
"16:15","6E","IndiGo","Deoghar International Airport","DGH","Deoghar","6E536","2h 35m"
"16:15","6E","IndiGo","Jodhpur","JDH","Jodhpur","6E6259","1h 55m"
"16:15","SG","SpiceJet","Dubai International Airport","DXB","Dubai","SG5023","3h 35m"
"16:20","6E","IndiGo","Allahabad","IXD","Allahabad","6E6938","2h 15m"
