"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"08:25","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2935","1h 25m"
"08:30","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5051","1h 45m"
"08:40","IX","Air India Express","Cochin","COK","Kochi","IX1893","1h 15m"
"08:40","IX","Air India Express","Chennai International","MAA","Chennai","IX2926","1h 10m"
"08:55","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX1486","2h 10m"
"09:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2868","3h 0m"
"09:05","6E","IndiGo","Bandaranaike International","CMB","Colombo","6E1167","1h 25m"
"09:05","6E","IndiGo","Varanasi","VNS","Varanasi","6E6558","2h 20m"
"09:10","IX","Air India Express","Bagdogra","IXB","Bagdogra","IX2892","2h 50m"
"09:15","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E312","1h 15m"
"09:15","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2604","2h 0m"
"09:15","IX","Air India Express","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","IX2931","3h 10m"
"09:20","6E","IndiGo","Hindon Airport","HDO","Ghaziabad","6E2518","2h 50m"
"09:20","6E","IndiGo","Navi Mumbai International Airport","NMI","Mumbai","6E2086","1h 35m"
"09:20","IX","Air India Express","Birsa Munda","IXR","Ranchi","IX2786","2h 25m"
"09:25","6E","IndiGo","Agartala","IXA","Agartala","6E524","2h 55m"
"09:30","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E830","3h 0m"
"09:35","6E","IndiGo","Jaipur","JAI","Jaipur","6E415","2h 30m"
"09:40","QP","Akasa Air","Darbhanga Airport","DBR","Darbhanga","QP1513","2h 35m"
"09:45","QP","Akasa Air","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","QP1323","3h 15m"
"09:55","QP","Akasa Air","Phuket International Airport","HKT","Phuket","QP623","3h 40m"
"09:55","WY","Oman Air","Seeb International","MCT","Muscat","WY282","3h 35m"
"10:00","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E503","2h 35m"
"10:00","IX","Air India Express","Suvarnabhumi Airport","BKK","Bangkok","IX882","4h 10m"
"10:00","S5","Star Air","Jindal Airport","VDY","Vijaynagar","S5701","0h 50m"
"10:05","IX","Air India Express","Jaipur","JAI","Jaipur","IX1494","2h 35m"
"10:05","QP","Akasa Air","Zayed International Airport","AUH","Abu Dhabi","QP590","4h 0m"
"10:10","6E","IndiGo","Veer Surendra Sai Airport","JRG","Jharsuguda","6E6059","2h 10m"
"10:10","IX","Air India Express","Phuket International Airport","HKT","Phuket","IX904","4h 10m"
"10:15","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5237","1h 50m"
"10:15","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E537","1h 15m"
"10:20","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1457","4h 50m"
"10:25","6E","IndiGo","Cochin","COK","Kochi","6E6445","1h 5m"
"10:25","6E","IndiGo","Madurai","IXM","Madurai","6E7527","1h 10m"
"10:25","IX","Air India Express","Chandigarh","IXC","Chandigarh","IX1498","3h 10m"
"10:30","6E","IndiGo","Thiruvananthapuram International","TRV","Thiruvananthapuram","6E6144","1h 20m"
"10:30","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2852","2h 5m"
"10:30","EK","Emirates","Dubai International Airport","DXB","Dubai","EK565","3h 45m"
"10:40","6E","IndiGo","Mopa Airport","GOX","Goa","6E6583","1h 5m"
"10:45","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E175","2h 50m"
"10:45","IX","Air India Express","Lucknow","LKO","Lucknow","IX1480","2h 40m"
"10:50","6E","IndiGo","Chennai International","MAA","Chennai","6E904","0h 55m"
"10:55","6E","IndiGo","Vijayawada","VGA","Vijayawada","6E7071","1h 40m"
"10:55","IX","Air India Express","Srinagar","SXR","Srinagar","IX1385","3h 35m"
"11:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2406","3h 0m"
"11:05","6E","IndiGo","Shirdi Airport","SAG","Shirdi","6E574","1h 40m"
"11:05","6E","IndiGo","Tuticorin Airport","TCR","Tuticorin","6E7735","1h 45m"
"11:10","IX","Air India Express","Calicut","CCJ","Kozhikode","IX5313","1h 0m"
"11:15","6E","IndiGo","Allahabad","IXD","Allahabad","6E6531","2h 20m"
"11:20","QP","Akasa Air","Gorakhpur Airport","GOP","Gorakhpur","QP1880","2h 45m"
"11:30","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5069","1h 50m"
"11:30","6E","IndiGo","Kanpur","KNU","Kanpur","6E6035","2h 25m"
"11:35","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6404","1h 15m"
"11:35","6E","IndiGo","Salem Airport","SXV","Salem","6E7917","1h 0m"
"11:35","SQ","Singapore Airlines","Singapore Changi Airport","SIN","Singapore","SQ509","4h 55m"
"11:40","6E","IndiGo","Port Blair","IXZ","Port Blair","6E6356","2h 35m"
"11:40","6E","IndiGo","Pune","PNQ","Pune","6E6104","1h 30m"
"11:40","IC","Fly91","Sindhudurg Airport","SDW","Malvan","IC5302","1h 45m"
"11:50","IX","Air India Express","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","IX1537","2h 35m"
"11:55","6E","IndiGo","Jabalpur","JLR","Jabalpur","6E6586","2h 5m"
"12:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E809","2h 50m"
"12:00","IX","Air India Express","Port Blair","IXZ","Port Blair","IX2648","2h 40m"
"12:05","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2630","2h 0m"
"12:10","QP","Akasa Air","Pune","PNQ","Pune","QP1313","1h 40m"
"12:30","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2819","1h 20m"
"12:35","6E","IndiGo","Goa","GOI","Goa","6E6653","1h 15m"
"12:40","6E","IndiGo","Agra","AGR","Agra","6E941","2h 30m"
"12:40","6E","IndiGo","Vishakhapatnam","VTZ","Vishakhapatnam","6E6336","1h 30m"
"12:40","IX","Air India Express","Chennai International","MAA","Chennai","IX2942","1h 10m"
"12:45","6E","IndiGo","Chennai International","MAA","Chennai","6E6208","1h 10m"
"12:45","IX","Air India Express","Pune","PNQ","Pune","IX1971","1h 30m"
"12:50","6E","IndiGo","Male International Airport","MLE","Male","6E1127","1h 55m"
"12:55","6E","IndiGo","Cochin","COK","Kochi","6E703","1h 5m"
"12:55","6E","IndiGo","Surat","STV","Surat Gujarat","6E465","1h 55m"
"13:00","IX","Air India Express","Surat","STV","Surat Gujarat","IX2052","2h 0m"
"13:05","IX","Air India Express","Goa","GOI","Goa","IX1386","1h 10m"
"13:05","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1821","2h 55m"
"13:10","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E6542","1h 0m"
"13:10","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E869","2h 55m"
"13:15","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E6507","2h 5m"
"13:20","6E","IndiGo","Tirupati","TIR","Tirupati","6E7737","1h 0m"
"13:30","IX","Air India Express","Bagdogra","IXB","Bagdogra","IX1407","3h 0m"
"13:35","IX","Air India Express","Birsa Munda","IXR","Ranchi","IX2053","2h 25m"
"13:40","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E172","2h 40m"
"13:45","AI","Air India","Heathrow","LHR","London","AI133","11h 5m"
"13:55","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E6595","2h 5m"
"14:00","6E","IndiGo","Kuala Lumpur International Airport","KUL","Kuala Lumpur","6E1037","4h 30m"
"14:10","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2051","1h 10m"
"14:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E840","2h 30m"
"14:15","6E","IndiGo","Ozar Airport","ISK","Ozar","6E6547","1h 50m"
"14:20","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5351","1h 45m"
"14:25","6E","IndiGo","Cochin","COK","Kochi","6E602","1h 10m"
"14:25","IX","Air India Express","Devi Ahilyabai Holkar","IDR","Indore","IX2014","2h 0m"
"14:30","IX","Air India Express","Ahmedabad Airport","AMD","Ahmedabad","IX2001","2h 5m"
"14:35","6E","IndiGo","Mangalore","IXE","Mangalore","6E5306","1h 0m"
"14:35","6E","IndiGo","Tiruchirappalli","TRZ","Tiruchirappalli","6E7711","1h 15m"
"14:40","VS","Virgin Atlantic","Heathrow","LHR","London","VS347","10h 45m"
"14:45","6E","IndiGo","Patna","PAT","Patna","6E6277","2h 35m"
"14:50","QP","Akasa Air","Varanasi","VNS","Varanasi","QP1423","2h 25m"
"15:00","6E","IndiGo","Navi Mumbai International Airport","NMI","Mumbai","6E6030","1h 40m"
"15:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI428","2h 45m"
"15:00","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX1536","2h 5m"
"15:05","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E6572","2h 40m"
"15:10","6E","IndiGo","Dehradun","DED","Dehra Dun","6E852","2h 55m"
"15:10","QP","Akasa Air","Pune","PNQ","Pune","QP1315","1h 45m"
"15:15","6E","IndiGo","Goa","GOI","Goa","6E6753","1h 20m"
"15:15","6E","IndiGo","Thiruvananthapuram International","TRV","Thiruvananthapuram","6E6427","1h 20m"
"15:20","6E","IndiGo","Hubli Airport","HBX","Hubli","6E7162","1h 25m"
"15:20","6E","IndiGo","Kolhapur","KLH","Kolhapur","6E7445","1h 45m"
"15:25","IX","Air India Express","Cochin","COK","Kochi","IX2608","1h 15m"
"15:25","IX","Air India Express","Varanasi","VNS","Varanasi","IX1540","2h 30m"
"15:30","QP","Akasa Air","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","QP1509","2h 50m"
"15:35","6E","IndiGo","Madurai","IXM","Madurai","6E7207","1h 25m"
"15:35","6E","IndiGo","Nagpur","NAG","Nagpur","6E6003","1h 45m"
"15:40","6E","IndiGo","Aurangabad","IXU","Aurangabad","6E516","1h 40m"
"15:45","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E860","2h 55m"
"15:50","6E","IndiGo","Cochin","COK","Kochi","6E2138","1h 0m"
"15:55","9I","Alliance Air","Salem Airport","SXV","Salem","9I513","1h 0m"
"16:00","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5031","1h 45m"
"16:00","6E","IndiGo","Jaipur","JAI","Jaipur","6E469","2h 20m"
"16:00","6E","IndiGo","Puducherry Airport","PNY","Puducherry","6E7142","1h 10m"
"16:05","IX","Air India Express","Dehradun","DED","Dehra Dun","IX1527","3h 5m"
"16:10","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E7407","1h 0m"
"16:10","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET691","6h 0m"
"16:20","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E851","3h 0m"
"16:20","6E","IndiGo","Lucknow","LKO","Lucknow","6E451","2h 35m"
"16:25","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E6774","3h 5m"
"16:25","QP","Akasa Air","Noida International","DXN","Jewar","QP1525","2h 50m"
"16:30","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6067","1h 15m"
"16:30","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2418","2h 55m"
"16:35","IX","Air India Express","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","IX2945","3h 10m"
"16:45","6E","IndiGo","Patna","PAT","Patna","6E6451","2h 30m"
"16:50","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E239","2h 10m"
"16:50","IX","Air India Express","Vishakhapatnam","VTZ","Vishakhapatnam","IX2023","1h 40m"
"17:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6039","2h 50m"
"17:00","6E","IndiGo","Mangalore","IXE","Mangalore","6E109","1h 0m"
