"Arrival time","Airline code","Airline","Origin airport","Origin code","Origin city","Flight","Duration"
"20:50","FZ","flydubai","Islam Karimov Tashkent International Airport","TAS","Tashkent","FZ1946","4h 20m"
"20:55","FZ","flydubai","Hamad International Airport","DOH","Doha","FZ10","1h 25m"
"20:55","FZ","flydubai","Moi International","MBA","Mombasa","FZ1290","5h 20m"
"20:55","FZ","flydubai","Tirana International Airport Nënë Tereza","TIA","Tirana","FZ746","5h 55m"
"21:00","EK","Emirates","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","EK503","3h 0m"
"21:00","FZ","flydubai","Henri Coandă International Airport","OTP","Bucharest","FZ1798","4h 55m"
"21:00","RQ","Kam Air","Kabul International","KBL","Kabul","RQ901","3h 10m"
"21:05","6E","IndiGo","Cochin","COK","Kochi","6E1475","4h 5m"
"21:05","FZ","flydubai","Damascus International","DAM","Damascus","FZ1114","3h 40m"
"21:10","FZ","flydubai","Madinah","MED","Madinah","FZ898","2h 55m"
"21:15","EK","Emirates","Addis Ababa Bole International Airport","ADD","Addis Ababa","EK724","4h 15m"
"21:15","EK","Emirates","Madinah","MED","Madinah","EK810","2h 40m"
"21:15","FZ","flydubai","Bahrain International Airport","BAH","Bahrain","FZ30","1h 30m"
"21:15","FZ","flydubai","Kraków John Paul II International Airport","KRK","Krakow","FZ1788","6h 25m"
"21:15","FZ","flydubai","Naples International Airport","NAP","Naples","FZ1682","6h 15m"
"21:20","FZ","flydubai","Bodrum - Milas","BJV","Bodrum","FZ628","4h 50m"
"21:20","FZ","flydubai","Lochini","TBS","Tbilisi","FZ712","4h 45m"
"21:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E1463","3h 45m"
"21:25","EK","Emirates","Male International Airport","MLE","Male","EK661","4h 0m"
"21:25","FZ","flydubai","Sofia Airport","SOF","Sofia","FZ1758","5h 0m"
"21:25","QR","Qatar Airways","Hamad International Airport","DOH","Doha","QR1014","1h 20m"
"21:25","WY","Oman Air","Seeb International","MCT","Muscat","WY611","1h 10m"
"21:30","FZ","flydubai","Al Alamain International Airport","DBB","Dabaa","FZ186","4h 15m"
"21:30","FZ","flydubai","Chisinau International Airport","RMO","Chisinau","FZ782","5h 50m"
"21:30","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG5105","4h 20m"
"21:35","FZ","flydubai","Sarajevo","SJJ","Sarajevo","FZ762","5h 30m"
"21:35","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1636","3h 45m"
"21:40","UL","SriLankan Airlines","Bandaranaike International","CMB","Colombo","UL225","4h 40m"
"21:45","6E","IndiGo","Mangalore","IXE","Mangalore","6E1467","3h 45m"
"21:45","FZ","flydubai","King Abdulaziz International Airport","JED","Jeddah","FZ830","3h 0m"
"21:45","IX","Air India Express","Thiruvananthapuram International","TRV","Thiruvananthapuram","IX533","4h 10m"
"21:45","QR","Qatar Airways","Hamad International Airport","DOH","Doha","QR1018","1h 40m"
"21:50","EK","Emirates","Dar Es Salaam","DAR","Dar Es Salaam","EK726","5h 25m"
"21:55","XY","Flynas","King Khaled International","RUH","Riyadh","XY209","2h 5m"
"22:00","EK","Emirates","Cairo International Airport","CAI","Cairo","EK922","3h 25m"
"22:00","FZ","flydubai","Seeb International","MCT","Muscat","FZ48","1h 15m"
"22:05","BG","Biman","Zia International","DAC","Dhaka","BG347","5h 5m"
"22:15","FZ","flydubai","Corfu International Airport","CFU","Kerkyra","FZ1078","5h 40m"
"22:15","W2","FlexFlight","Bandaranaike International","CMB","Colombo","W21888","4h 50m"
"22:20","FZ","flydubai","King Fahd International","DMM","Dammam","FZ868","1h 40m"
"22:25","BS","US-Bangla Airlines","Zia International","DAC","Dhaka","BS341","5h 5m"
"22:25","EK","Emirates","Istanbul Airport","IST","Istanbul","EK124","5h 0m"
"22:25","FZ","flydubai","Bandaranaike International","CMB","Colombo","FZ550","4h 40m"
"22:25","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF512","1h 30m"
"22:25","IX","Air India Express","Kempegowda International Airport","BLR","Bengaluru","IX921","4h 0m"
"22:30","EK","Emirates","Soekarno Hatta International","CGK","Jakarta","EK357","7h 50m"
"22:30","EK","Emirates","Zia International","DAC","Dhaka","EK587","5h 0m"
"22:30","FG","Ariana","Kabul International","KBL","Kabul","FG401","3h 20m"
"22:35","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1126","3h 45m"
"22:40","EK","Emirates","Miami International","MIA","Miami","EK214","14h 45m"
"22:40","EK","Emirates","Jomo Kenyatta International","NBO","Nairobi","EK720","5h 5m"
"22:40","FZ","flydubai","Abha","AHB","Abha","FZ812","2h 45m"
"22:40","FZ","flydubai","Tribhuvan International","KTM","Kathmandu","FZ1596","4h 30m"
"22:40","IX","Air India Express","Mangalore","IXE","Mangalore","IX813","3h 45m"
"22:45","EK","Emirates","Milan Malpensa Airport","MXP","Milan","EK206","6h 30m"
"22:45","SG","SpiceJet","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","SG5113","3h 0m"
"22:50","EK","Emirates","Sir Seewoosagur Ramgoolam International","MRU","Mauritius","EK702","6h 35m"
"22:55","EK","Emirates","Tunis–Carthage International Airport","TUN","Tunis","EK748","6h 0m"
"22:55","SG","SpiceJet","Pune","PNQ","Pune","SG51","3h 25m"
"23:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI4305","3h 45m"
"23:00","EK","Emirates","Queen Alia International","AMM","Amman","EK904","3h 45m"
"23:00","EK","Emirates","Hong Kong International Airport","HKG","Hong Kong","EK383","7h 50m"
"23:00","EK","Emirates","Phuket International Airport","HKT","Phuket","EK379","6h 5m"
"23:00","EK","Emirates","Ninoy Aquino International","MNL","Manila","EK333","8h 45m"
"23:00","FZ","flydubai","Tabuk","TUU","Tabuk","FZ882","3h 35m"
"23:00","FZ","flydubai","Zagreb Airport","ZAG","Zagreb","FZ1794","6h 30m"
"23:05","EK","Emirates","São Paulo/Guarulhos International Airport","GRU","Sao Paulo","EK262","15h 0m"
"23:10","FZ","flydubai","Hamad International Airport","DOH","Doha","FZ6","1h 15m"
"23:10","FZ","flydubai","Heydar Aliyev International Airport","GYD","Baku","FZ708","5h 10m"
"23:15","FZ","flydubai","Santorini (Thira) International Airport","JTR","Thira","FZ1815","4h 55m"
"23:20","EK","Emirates","Kempegowda International Airport","BLR","Bengaluru","EK567","3h 50m"
"23:20","FZ","flydubai","Gassim","ELQ","Gassim","FZ876","2h 30m"
"23:35","EK","Emirates","King Khaled International","RUH","Riyadh","EK818","2h 10m"
"23:40","EK","Emirates","Johannesburg International","JNB","Johannesburg","EK762","8h 10m"
"23:45","EK","Emirates","Fiumicino","FCO","Rome","EK98","6h 0m"
"23:45","EK","Emirates","Warsaw Chopin Airport","WAW","Warsaw","EK180","6h 35m"
"23:45","IX","Air India Express","Calicut","CCJ","Kozhikode","IX323","4h 15m"
"23:50","EK","Emirates","Vienna International Airport","VIE","Vienna","EK128","6h 15m"
"23:55","EK","Emirates","Geneva Airport","GVA","Geneva","EK90","6h 40m"
"23:55","EK","Emirates","Venice Marco Polo Airport","VCE","Venice","EK136","6h 20m"
"23:59","EK","Emirates","Athens International Airport","ATH","Athens","EK210","4h 54m"
"23:59","EK","Emirates","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","EK509","3h 4m"
"23:59","EK","Emirates","Lyon–Saint-Exupéry Airport","LYS","Lyon","EK82","6h 19m"
