"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"22:20","6E","IndiGo","King Fahd International","DMM","Dammam","6E81","3h 50m"
"22:25","EK","Emirates","Dubai International Airport","DXB","Dubai","EK509","3h 4m"
"22:25","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX696","6h 0m"
"22:45","6E","IndiGo","Cochin","COK","Kochi","6E2093","1h 55m"
"22:45","6E","IndiGo","Nagpur","NAG","Nagpur","6E5328","1h 35m"
"22:50","6E","IndiGo","Madinah","MED","Madinah","6E59","4h 55m"
"22:55","AI","Air India","Chennai International","MAA","Chennai","AI639","2h 10m"
"23:00","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6195","1h 35m"
"23:00","6E","IndiGo","Chennai International","MAA","Chennai","6E6137","2h 5m"
"23:05","QP","Akasa Air","Zayed International Airport","AUH","Abu Dhabi","QP584","3h 15m"
"23:05","SG","SpiceJet","Kempegowda International Airport","BLR","Bengaluru","SG559","2h 10m"
"23:10","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E5152","1h 25m"
"23:10","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY205","3h 5m"
"23:10","VN","Vietnam Airlines","Noibai International","HAN","Hanoi","VN972","4h 45m"
"23:20","6E","IndiGo","Jaipur","JAI","Jaipur","6E5135","1h 40m"
"23:25","AI","Air India","Singapore Changi Airport","SIN","Singapore","AI2105","5h 50m"
"23:25","MH","Malaysia Airlines","Kuala Lumpur International Airport","KUL","Kuala Lumpur","MH195","5h 30m"
"23:25","OD","Batik Air","Kuala Lumpur International Airport","KUL","Kuala Lumpur","OD216","5h 5m"
"23:35","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG164","2h 10m"
"23:35","TG","Thai Airways","Suvarnabhumi Airport","BKK","Bangkok","TG318","4h 30m"
"23:40","SQ","Singapore Airlines","Singapore Changi Airport","SIN","Singapore","SQ423","5h 30m"
"23:45","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E350","2h 15m"
"23:55","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI1882","2h 20m"
